Year	Month	Quantity	Unit
2021	january		kg
2021	feburary		kg
2021	march		kg
2021	april		kg
2021	may		kg
2021	june		kg
2021	july		kg
2021	august		kg
2021	september		kg
2021	october	21,5	kg
2021	november	18	kg
2021	december	15,8	kg
2022	january	15,5	kg
2022	feburary	14,4	kg
2022	march	11,6	kg
2022	april	22,7	kg
2022	may	6,86	kg
2022	june	10,35	kg
2022	july	10,24	kg
2022	august	5,9	kg
2022	september	6,8	kg
2022	october		kg
2022	november		kg
2022	december		kg
