Year	Month	Quantity	Unit
2021	january	0	kg
2021	feburary	0	kg
2021	march	0	kg
2021	april	0	kg
2021	may	 12,96 	kg
2021	june	0	kg
2021	july	0	kg
2021	august	0	kg
2021	september	0	kg
2021	october	0	kg
2021	november	0	kg
2021	december	0	kg
2022	january	0	kg
2022	feburary	0	kg
2022	march	0	kg
2022	april	0	kg
2022	may	 7,95 	kg
2022	june	 9,68 	kg
2022	july	 11,02 	kg
2022	august	 21,37 	kg
2022	september	 10,01 	kg
2022	october	 38,01 	kg
2022	november	0	kg
2022	december	0	kg
