Year	Month	Quantity	Unit
2021	january	160,9	kg
2021	feburary	143,19	kg
2021	march	150,59	kg
2021	april	97,6	kg
2021	may	32,24	kg
2021	june	0	kg
2021	july	0	kg
2021	august	0	kg
2021	september	90,29	kg
2021	october	33,99	kg
2021	november	0	kg
2021	december	0	kg
2022	january	23	kg
2022	feburary	32	kg
2022	march	6,6	kg
2022	april	21,8	kg
2022	may	17	kg
2022	june	14,07	kg
2022	july	36,5	kg
2022	august	16,08	kg
2022	september	45,6	kg
2022	october	0	kg
2022	november	0	kg
2022	december	0	kg
